POSTCODE,POPULATION
2000,27936
2007,7410
2008,10400
2009,12658
2010,26443
2011,18187
2015,11422
2016,13072
2017,29003
2018,19878
2019,13467
2020,21591
2021,14946
2022,13509
2023,10590
2024,11380
2025,7189
2026,32693
2027,7810
2028,4709
2029,9911
2030,14434
2031,33830
2032,14643
2033,11927
2034,20249
2035,34602
2036,33767
2037,16641
2038,9487
2039,8553
2040,22803
2041,15584
2042,18673
2043,9657
2044,8278
2045,6480
2046,27288
2047,12011
2048,7619
2049,12258
2050,9381
2060,15135
2061,6158
2062,7088
2063,6493
2064,9417
2065,31698
2066,33844
2067,27078
2068,17450
2069,14604
2070,14648
2071,13510
2072,8795
2073,17221
2074,23423
2075,21665
2076,25340
2077,42819
2079,7816
2080,1766
2081,5394
2082,5458
2083,1665
2084,3759
2085,11452
2086,14214
2087,13161
2088,28329
2089,11491
2090,13533
2092,7384
2093,23555
2094,6141
2095,16296
2096,14955
2097,15991
2099,42917
2100,21973
2101,19885
2102,8379
2103,10877
2104,3807
2105,2008
2106,9659
2107,15422
2108,1740
2110,9846
2111,15456
2112,38026
2113,27637
2114,25267
2115,12686
2116,7274
2117,22185
2118,27888
2119,12458
2120,20988
2121,34209
2122,31187
2125,16620
2126,19082
2127,23198
2128,3600
2130,7288
2131,23012
2132,10755
2133,10929
2134,18224
2135,25915
2136,7763
2137,27726
2138,19686
2140,20766
2141,32425
2142,27993
2143,9774
2144,39333
2145,87531
2146,19456
2147,37285
2148,67483
2150,35254
2151,21204
2152,11261
2153,62610
2154,40874
2155,75699
2156,13403
2157,4042
2158,8937
2159,5148
2160,39388
2161,34379
2162,20306
2163,10544
2164,21273
2165,45046
2166,54184
2167,10536
2168,45023
2170,114479
2171,38882
2172,2892
2173,14544
2174,12080
2175,1790
2176,50022
2177,17154
2178,4170
2179,16262
2190,27559
2191,6555
2192,13781
2193,17778
2194,26132
2195,27103
2196,33743
2197,10121
2198,9843
2199,19651
2200,48003
2203,13946
2204,26567
2205,25338
2206,19730
2207,28382
2208,12881
2209,15825
2210,33262
2211,17610
2212,17184
2213,23290
2214,4074
2216,28027
2217,28673
2218,16182
2219,13771
2220,33761
2221,17065
2222,12660
2223,21403
2224,14559
2225,5560
2226,13054
2227,15364
2228,21001
2229,30943
2230,30690
2231,2528
2232,35304
2233,29960
2234,30648
2250,71168
2251,33721
2256,16039
2257,30403
2258,5253
2259,66236
2260,25845
2261,55129
2262,21411
2263,24554
2264,16162
2265,7464
2267,2920
2278,2565
2280,27183
2281,15323
2282,16146
2283,24419
2284,12612
2285,33869
2286,4690
2287,40845
2289,20257
2290,34912
2291,14279
2292,2622
2293,3302
2294,2061
2295,8091
2296,2026
2297,1801
2298,10141
2299,11905
2300,12058
2302,1411
2303,9710
2304,15807
2305,13108
2306,3421
2307,4537
2308,1358
2311,913
2312,1500
2315,15287
2316,6577
2317,6553
2318,13667
2319,6887
2320,39163
2321,19857
2322,24373
2323,26051
2324,25443
2325,31073
2326,7871
2327,7830
2328,2506
2329,2138
2330,21445
2331,581
2333,13795
2334,3349
2335,8124
2336,2589
2337,8060
2338,1403
2339,718
2340,52436
2341,1478
2342,465
2343,4858
2344,674
2345,707
2346,3033
2347,1865
2350,26911
2352,2950
2353,1201
2354,3484
2355,627
2356,124
2357,4069
2358,3727
2359,710
2360,14995
2361,927
2365,3762
2369,871
2370,7785
2371,1158
2372,4789
2379,291
2380,11118
2381,1302
2382,1381
2386,293
2387,201
2388,2554
2390,8540
2395,725
2396,834
2397,286
2398,248
2399,623
2400,9708
2401,299
2402,1745
2403,719
2404,1676
2405,500
2406,705
2408,310
2409,1072
2410,240
2411,104
2415,429
2420,4016
2421,2069
2422,5608
2423,3297
2424,480
2425,2018
2426,850
2427,3463
2428,25187
2429,9650
2430,36841
2431,5628
2439,4031
2440,23166
2441,4288
2443,8739
2444,51117
2445,7350
2446,15054
2447,7809
2448,9618
2449,2165
2450,47335
2452,15260
2453,2787
2454,7953
2455,3185
2456,17141
2460,31079
2462,2529
2463,8304
2464,7058
2465,346
2466,1765
2469,4359
2470,15477
2471,2821
2472,1987
2473,3203
2474,6492
2475,399
2476,847
2477,12899
2478,32053
2479,5780
2480,45938
